((t6:0.8225739298,t1:0.4087018084):0.6235530858,(((t3:0.8743317241,t5:0.5898637846):0.4452828444,t2:0.3409535014):0.7751271643,t4:0.3703632264):0.760751049);
((t4:0.05817430769,(t6:0.2794658127,(t2:0.7363563539,t5:0.6389756305):0.5910468481):0.3104866501):0.979729146,(t1:0.5381913299,t3:0.1979403249):0.1606198691);
(((t4:0.948445814,t1:0.2131058888):0.8265960948,t6:0.1802978846):0.5956294897,((t3:0.9245717248,t2:0.04197345697):0.5032781775,t5:0.5456197057):0.8019334157);
((t2:0.554653676,t4:0.2744620261):0.7841892466,((t1:0.2102400584,t3:0.1874273149):0.1455237095,(t6:0.703797336,t5:0.7355412394):0.9809109247):0.7114190625);
((t4:0.08296981198,(t2:0.8448168065,t3:0.6214395429):0.1010598734):0.641285053,((t5:0.5776983048,t6:0.3643068385):0.3335873468,t1:0.6652099586):0.9643893917);
((t2:0.5422517958,t4:0.6914887908):0.1279666687,(t3:0.8686904334,(t5:0.7235180472,(t1:0.9763725086,t6:0.1467561298):0.4259707271):0.1485040793):0.7045341865);
((t5:0.09208723879,t6:0.1055056392):0.827440127,((t1:0.08533317153,t4:0.5601037515):0.7786060951,(t2:0.6462120856,t3:0.347897114):0.4021643717):0.6184209932);
(t1:0.5110512902,((t6:0.6396624208,t2:0.5866144728):0.9337634873,((t5:0.4619760951,t3:0.2652183445):0.6352868557,t4:0.3048969517):0.5965075262):0.1779588936);
(((t2:0.9786412157,t3:0.2673476241):0.8512414284,((t5:0.1228421116,t6:0.04804402031):0.03912793542,t1:0.1816944352):0.6628022783):0.9611636032,t4:0.6751992968);
(((t2:0.9356601404,(t3:0.7779101357,t6:0.2073880802):0.9502353375):0.3911111939,(t5:0.3789368325,t1:0.5714517091):0.7956219786):0.2688041523,t4:0.3572328498);
(((t6:0.4395391066,t3:0.3122728083):0.6457466327,((t4:0.4955999763,t1:0.09689539345):0.940887999,t2:0.156929631):0.6589065848):0.01026479644,t5:0.3823024491);
((t2:0.2812477923,t3:0.05659447005):0.1309244512,(((t1:0.4086541729,t5:0.7798146785):0.3651731657,t6:0.4362240448):0.07534752553,t4:0.2893031591):0.04540802748);
((t6:0.8294174108,((t3:0.5771542673,t4:0.9253365798):0.9426945222,t2:0.9346580529):0.6696048591):0.405926497,(t1:0.6586241787,t5:0.2523593167):0.3467056076);
(((t1:0.3989263228,(t2:0.9676310255,t6:0.4134810045):0.8687624151):0.8369917234,t3:0.407829816):0.4120715051,(t5:0.623593319,t4:0.4646861237):0.2016009428);
(t1:0.5614482656,((t3:0.3864185715,(t4:0.7111841908,t5:0.1319565999):0.8296842456):0.568460257,(t2:0.723781199,t6:0.9325775043):0.7010168685):0.1185252082);
(((t4:0.2513130046,t2:0.4600706506):0.2099156107,t6:0.6641784653):0.3327939159,(t5:0.1378862762,(t3:0.2776168599,t1:0.0140739202):0.08729755227):0.2661495788);
((t6:0.9008388466,(t1:0.8282836822,t3:0.3487741675):0.5763841367):0.8981627563,((t5:0.9973213968,t4:0.66700243):0.2456536163,t2:0.1273603893):0.02432806743);
(((t2:0.6792246362,t6:0.4221269509):0.6531919891,t5:0.1883584927):0.5688378927,((t1:0.271425968,t4:0.6385246227):0.6099094893,t3:0.04862263636):0.1487016669);
((t5:0.4554495674,t3:0.7846687206):0.5778389783,((t1:0.3162966711,t6:0.6575524034):0.4981976857,(t4:0.4926760776,t2:0.5824581194):0.3846450609):0.05895192898);
(t4:0.637854313,(t5:0.2079128574,((t2:0.598645916,t6:0.9019148999):0.8552511486,(t1:0.2932812802,t3:0.1405699321):0.9092547777):0.02991680522):0.2960042893);
((t3:0.2290760365,t2:0.3391972065):0.4006304196,(t1:0.5736613013,((t4:0.6794848575,t6:0.3864311432):0.1037880115,t5:0.2212628336):0.1018431841):0.9625356405);
((t4:0.3861595953,t3:0.3715939333):0.7452589918,(t5:0.3519720975,((t2:0.2521673713,t6:0.1340022967):0.8033003162,t1:0.01383654075):0.6799653766):0.199236573);
(((t3:0.4115172101,t1:0.1062381938):0.5944248312,t2:0.03260679101):0.1632862773,(t5:0.2993636264,(t4:0.5386759215,t6:0.7101844517):0.3259871264):0.8198984019);
(((t3:0.01621431159,t4:0.6303050609):0.939884719,(t6:0.4046595155,t1:0.3140987887):0.3005469828):0.06236359873,(t5:0.1320234518,t2:0.8197574178):0.93831389);
((t1:0.3597572972,t5:0.6138041522):0.07432070025,((t2:0.2386630995,(t3:0.4696774411,t4:0.7251647066):0.7934332164):0.6854069538,t6:0.1371217777):0.2943840106);
((t6:0.7006968535,(t1:0.7312982748,(t4:0.4614393285,t5:0.4404867133):0.001702072797):0.2243297615):0.899149389,(t2:0.8377074567,t3:0.4686906771):0.04840074922);
(t3:0.7728756629,((t2:0.592972948,t5:0.1792848627):0.1986847764,((t4:0.6422126682,t1:0.5427380693):0.4536015517,t6:0.543045619):0.4806568604):0.6253416552);
(t6:0.3776337178,((t4:0.8409677243,(t3:0.4992359797,t1:0.5117451255):0.7279346113):0.2507448536,(t5:0.3850219632,t2:0.1751498417):0.1471307056):0.5609546781);
((t1:0.6001731546,t3:0.6797239571):0.1647567935,(((t5:0.8113845258,t4:0.5494729225):0.1201971062,t6:0.5128975897):0.09169138339,t2:0.2248053572):0.4433199638);
((t1:0.3081360664,((t4:0.1838778604,(t3:0.8615487108,t5:0.4161185869):0.09392971499):0.3332551997,t2:0.4387059156):0.232711846):0.9678099076,t6:0.8247160481);
(((t3:0.07146729971,(t1:0.9776970483,t4:0.1382775335):0.4365698681):0.06147758663,(t5:0.9863579278,t2:0.5802960063):0.4937469619):0.548474014,t6:0.3038570362);
((t2:0.7563535471,t6:0.5575833197):0.5399298833,((t3:0.2951826733,(t1:0.3646123556,t4:0.09273575596):0.05438563065):0.1992605641,t5:0.3896821509):0.8425234605);
((t4:0.971530962,((t5:0.1734925301,t6:0.6011057606):0.6590945497,t3:0.7917463188):0.471427639):0.5131690504,(t1:0.5512162892,t2:0.9684853663):0.9405435792);
((((t6:0.8898723866,t5:0.009601094294):0.2024484552,(t4:0.8348574939,t1:0.4914539582):0.5604013645):0.212792333,t2:0.7829294438):0.4353442339,t3:0.7567107079);
((t1:0.4067971061,t5:0.4524122791):0.105176544,(t4:0.7441371614,(t6:0.1824497529,(t2:0.5059790756,t3:0.3634994484):0.02233865811):0.6814750212):0.9033500149);
((t3:0.3290806727,(t2:0.4881380757,((t1:0.9237924875,t6:0.9029368244):0.5061822524,t5:0.1328925479):0.4212519203):0.9106363319):0.5404229225,t4:0.4445295441);
(t2:0.9896980252,((t6:0.5730049869,t4:0.2603554351):0.9164971043,((t5:0.9623839026,t3:0.1564972233):0.329957969,t1:0.1600113278):0.7981646166):0.6772590869);
((t6:0.1229840266,(t5:0.3706816239,t4:0.8983536116):0.5417172106):0.3374412521,((t1:0.7943251543,t3:0.5553922907):0.008663286688,t2:0.1823491235):0.1284305875);
