(t1:0.196219079,(((((t7:0.06663895026,t2:0.7316480987):0.09459540411,t5:0.7894584325):0.2270181915,t6:0.6648435646):0.7320983948,t3:0.3568848532):0.2339764086,t4:0.4712708404):0.8272770746);
((((t3:0.04856253113,t2:0.7668423874):0.5246952455,t5:0.4471930885):0.8120909033,((t6:0.2975405261,t7:0.0940807343):0.2610274737,t1:0.1115782959):0.9629801156):0.03516331967,t4:0.952149201);
((((t4:0.5302857049,t6:0.2135101617):0.006313904421,t3:0.4704956261):0.7634565369,(t1:0.1442483538,t7:0.8806820689):0.02258335776):0.9043829786,(t5:0.8268318274,t2:0.5579791598):0.5250263596);
(t1:0.04711941117,(t6:0.2238562503,(t2:0.7801937675,(t4:0.04178932169,(t3:0.65948164,(t7:0.257014794,t5:0.8600600732):0.9177622357):0.3910386197):0.3867449146):0.9473993743):0.1168286335);
(((t5:0.4565328278,t4:0.5800237353):0.3502751095,t1:0.2867739666):0.8044200756,(t6:0.8052216726,((t7:0.06873580581,t3:0.4910256884):0.5888906731,t2:0.8580131049):0.5157300774):0.1406375468);
(((t5:0.7261533428,t4:0.09437358263):0.2404096781,(t7:0.1717919307,t2:0.02469122922):0.785411193):0.1872714595,((t6:0.2402393182,t1:0.3553956882):0.2240628931,t3:0.4730964582):0.9438411621);
(((t7:0.7959691831,t4:0.3552533826):0.8783128439,t5:0.2074512322):0.9495420326,(t2:0.6579331753,((t3:0.8290468464,t6:0.5531029897):0.06540401187,t1:0.07304869709):0.02333940868):0.4870439149);
(((t2:0.9872747161,(t6:0.05762327369,t3:0.07212986983):0.8921751059):0.3113609224,(t1:0.3878465553,t7:0.4645799035):0.9003637037):0.01242125523,(t5:0.5817617169,t4:0.8185120712):0.249703795);
((t1:0.1498232898,(t7:0.5873605837,t6:0.0912014409):0.6392487069):0.4830101824,(t3:0.961135447,((t2:0.9557597276,t4:0.9660698709):0.545920524,t5:0.9269755008):0.5521960051):0.1077111578);
((t2:0.3880141741,t1:0.2563052818):0.9334708706,(((t3:0.2229763113,t7:0.7532877589):0.4828716139,(t6:0.3143545168,t4:0.1120230183):0.3864123325):0.07128246245,t5:0.2036557375):0.5097257432);
((t1:0.5516083012,t2:0.5512298078):0.115741482,(t7:0.8109506851,(t3:0.5689059631,((t4:0.3017097104,t6:0.07086091302):0.3887098976,t5:0.2262566779):0.1975689114):0.1952395842):0.9726353146);
((t5:0.7471600783,t4:0.5619286937):0.6296593035,((t7:0.8908705337,t2:0.9670319059):0.0816736808,((t1:0.9817180119,t6:0.5693033896):0.9532204254,t3:0.6931650855):0.3338857901):0.9793279371);
((t1:0.8682820059,((t4:0.9817301242,t3:0.0636503573):0.3424294777,(t5:0.2544941315,t7:0.06426715432):0.00307920319):0.4601421894):0.3492654387,(t6:0.4642778637,t2:0.6850679752):0.766759658);
((t6:0.4205544731,(t4:0.3470425485,t1:0.7057835686):0.5843397563):0.9628189965,((t3:0.1062931723,(t7:0.4640145779,t2:0.4109686408):0.07445142767):0.1788791318,t5:0.6402901949):0.7069363068);
((t3:0.07157538901,(t1:0.03127088724,t5:0.2528450622):0.8420033008):0.9647068554,((t4:0.6806083934,(t7:0.05068495404,t6:0.7878762721):0.9548143344):0.04002727987,t2:0.8066203129):0.8191827005);
(t7:0.08840160235,((t4:0.5930528368,((t6:0.2555801386,(t3:0.5601729245,t2:0.1593590258):0.6587819487):0.2377083972,t1:0.9012006298):0.894420583):0.2933304023,t5:0.6521078108):0.7091187458);
((t3:0.3595116995,((t5:0.7802373439,t7:0.9369582124):0.8718260711,t6:0.5404252817):0.1877146135):0.9625941517,((t4:0.3321074345,t1:0.7746788731):0.7619394886,t2:0.4930550251):0.331783273);
((t4:0.1166879765,(t1:0.5257020767,t5:0.7848690385):0.2985909542):0.1294350119,(t2:0.1191207219,((t6:0.07738637482,t7:0.9199828824):0.3544180773,t3:0.3548786307):0.08268298884):0.4905082777);
((((t2:0.8881196899,t1:0.3053172091):0.784666396,(t4:0.4408473866,t5:0.7847767589):0.7255786383):0.5662742469,(t7:0.5642622479,t6:0.4100190368):0.7019168171):0.5347883247,t3:0.001840059878);
